script,ablation_name,seed,return_code,finished_at,duration_seconds,top1_cost,top1_nfev,top1_status,p,N_freq_fit,N_residual_dim,model_eval,residual_calls,objective_calls,T_fit_total,T_global,T_local,de_popsize,de_maxiter,n_starts,top_k,SSE_raw,RMSE_raw,AIC_raw,BIC_raw,n,gp_re_peak1_hz,gp_re_peak2_hz,gp_re_peak3_hz,gp_im_peak1_hz,gp_im_peak2_hz,gp_im_peak3_hz,gp_phase_peak1_hz,gp_phase_peak2_hz,gp_phase_peak3_hz,param_Csf,param_Csf0,param_Csw,param_Lad,param_Llr,param_Lls,param_Lm,param_Rcore,param_Rrs,param_Rsf,param_Rsw,param_nLls
ablation_ls_only.py,LS only,7,0,2026-03-27T19:30:53,80.125,2084.75,68,2,12,1590,3180,693,693,0,0.429,0.0,0.316,10,60,120.0,10.0,133512000.0,204.902,33875.312,33948.088,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,7.37938e-09,7.12277e-10,1.26673e-07,0.058568,0.0292213,0.0302785,3475.56,903.436,27.4,13435.2,1.78034e-09
ablation_no_freq_weights.py,No frequency weights,7,0,2026-03-27T19:32:48,115.172,1487.21,77,2,12,1590,3180,15860,15860,7440,18.09,1.421,16.536,10,60,120.0,10.0,99505100.0,176.892,32940.443,33013.219,3180,26400.0,125000.0,183000.0,130000.0,23800.0,1000000.0,18300000.0,75800000.0,31900000.0,3.15732e-10,5.67633e-09,7.82952e-10,1.32306e-07,0.0640507,0.0287579,0.0314741,3645.78,930.825,27.4,13334.5,1.62959e-09
ablation_no_reim_scaling.py,No Re/Im separate scaling,7,0,2026-03-27T19:34:18,90.172,64596300.0,88,2,12,1590,3180,17667,17667,7440,20.12,1.41,18.578,10,60,120.0,10.0,123702000.0,197.231,33632.616,33705.392,3180,483000.0,27300.0,683000.0,36000.0,421000.0,25500.0,18300000.0,75800000.0,11700000.0,3.47812e-10,7.38007e-11,7.26626e-10,1.28036e-07,0.0753242,0.0289808,0.0283157,3502.34,1159.38,27.4,13416.9,7.40782e-10
CurVer.py,,8,0,2026-03-27T19:35:38,80.109,1540.1,73,2,12,1590,3180,17866,17866,7440,20.337,1.399,18.809,10,60,120.0,10.0,54506400.0,130.921,31026.429,31099.205,3180,234000.0,38600.0,11900.0,196000.0,34800.0,308000.0,18300000.0,75800000.0,11700000.0,3.46142e-10,1.32041e-09,6.33914e-10,1.29567e-07,0.0138019,0.0328823,0.0206863,5263.14,2800.0,27.4,14312.5,1.02579e-10
ablation_de_only.py,DE only,8,0,2026-03-27T19:36:58,80.187,9519.9,22560,True,12,1590,3180,22561,22561,22560,9.558,9.447,0.0,20,160,,,128641000.0,201.13,33757.118,33829.894,3180,39900.0,467000.0,660000.0,421000.0,37300.0,20700.0,18300000.0,75800000.0,31900000.0,3.45902e-10,6.35285e-10,7.27191e-10,1.21008e-07,0.0406076,0.0290541,0.0421753,3379.57,310.176,27.4623,13528.5,4.07257e-10
ablation_ga_ls.py,GA + LS,8,0,2026-03-27T19:38:18,80.156,2084.75,45,2,12,1590,3180,7786,7786,7320,1.69,1.346,0.231,10,60,120.0,10.0,133512000.0,204.902,33875.31,33948.086,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53465e-10,4.84888e-10,7.12276e-10,1.28071e-07,0.0585723,0.0292214,0.0302772,3475.56,903.604,27.4,13435.2,4.25895e-10
ablation_ls_only.py,LS only,8,0,2026-03-27T19:39:34,75.157,2084.75,68,2,12,1590,3180,693,693,0,0.374,0.0,0.252,10,60,120.0,10.0,133512000.0,204.902,33875.312,33948.088,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,7.37938e-09,7.12277e-10,1.26673e-07,0.058568,0.0292213,0.0302785,3475.56,903.436,27.4,13435.2,1.78034e-09
ablation_no_freq_weights.py,No frequency weights,8,0,2026-03-27T19:41:19,105.172,1025.65,14,2,12,1590,3180,20375,20375,7440,26.255,1.382,24.741,10,60,120.0,10.0,43410100.0,116.837,30302.578,30375.354,3180,259000.0,31300.0,20700.0,34800.0,23800.0,308000.0,18300000.0,75800000.0,11700000.0,3.48332e-10,7.53218e-11,6.46359e-10,1.27351e-07,0.0177428,0.0324585,0.0209496,5109.52,2800.0,27.4,14138.7,1.11845e-10
ablation_no_reim_scaling.py,No Re/Im separate scaling,8,0,2026-03-27T19:42:54,95.171,37674600.0,55,2,12,1590,3180,16341,16341,7440,18.36,1.395,16.837,10,60,120.0,10.0,52794000.0,128.848,30924.922,30997.698,3180,278000.0,38600.0,11900.0,34800.0,319000.0,17400.0,18300000.0,75800000.0,13000000.0,3.59754e-10,6.74447e-10,6.32627e-10,1.27742e-07,0.0141994,0.0322553,0.0222068,5944.25,2800.0,27.4,14170.5,7.99801e-11
CurVer.py,,9,0,2026-03-27T19:44:26,92.235,1540.1,66,2,12,1590,3180,16900,16900,7440,23.212,1.815,21.213,10,60,120.0,10.0,54503700.0,130.918,31026.275,31099.051,3180,234000.0,38600.0,11900.0,196000.0,34800.0,308000.0,18300000.0,75800000.0,11700000.0,3.46142e-10,6.57195e-09,6.33915e-10,1.29496e-07,0.0138025,0.0328823,0.0206864,5263.0,2800.0,27.4,14312.5,1.45686e-10
ablation_de_only.py,DE only,9,0,2026-03-27T19:45:41,75.14,97652.2,17520,True,12,1590,3180,17521,17521,17520,6.94,6.826,0.0,20,160,,,1145320000.0,600.137,40709.921,40782.697,3180,16200.0,11500.0,36000.0,44300.0,354000.0,500000.0,7710000.0,10900000.0,17700000.0,2.4426e-09,1.22946e-09,8.01503e-10,1.30627e-07,0.0139987,0.042065,0.0761914,103.358,17.1737,34826.3,31530.5,3.76628e-10
ablation_ga_ls.py,GA + LS,9,0,2026-03-27T20:05:24,1182.672,2084.75,50,2,12,1590,3180,7851,7851,7320,1101.318,1098.761,1.144,10,60,120.0,10.0,133511000.0,204.901,33875.273,33948.049,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53467e-10,7.38e-11,7.12275e-10,1.26983e-07,0.0585912,0.0292214,0.0302719,3475.6,904.344,27.4,13435.1,1.47227e-09
ablation_ls_only.py,LS only,9,0,2026-03-27T20:06:54,90.094,2084.75,68,2,12,1590,3180,693,693,0,0.441,0.0,0.311,10,60,120.0,10.0,133512000.0,204.902,33875.312,33948.088,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,7.37938e-09,7.12277e-10,1.26673e-07,0.058568,0.0292213,0.0302785,3475.56,903.436,27.4,13435.2,1.78034e-09
ablation_no_freq_weights.py,No frequency weights,9,0,2026-03-27T20:08:39,105.094,1025.65,13,2,12,1590,3180,19497,19497,7440,25.435,1.454,23.839,10,60,120.0,10.0,43410100.0,116.837,30302.579,30375.354,3180,259000.0,31300.0,20700.0,34800.0,23800.0,308000.0,18300000.0,75800000.0,11700000.0,3.48331e-10,8.40139e-11,6.4636e-10,1.2735e-07,0.0177429,0.0324585,0.0209496,5109.51,2800.0,27.4,14138.7,8.95867e-11
ablation_no_reim_scaling.py,No Re/Im separate scaling,9,0,2026-03-27T20:10:14,95.094,64596300.0,55,2,12,1590,3180,18533,18533,7440,23.024,1.444,21.444,10,60,120.0,10.0,123702000.0,197.231,33632.621,33705.396,3180,483000.0,27300.0,683000.0,36000.0,421000.0,25500.0,18300000.0,75800000.0,11700000.0,3.47814e-10,7.38e-09,7.26627e-10,1.28759e-07,0.075318,0.0289807,0.0283167,3502.37,1159.15,27.4,13416.8,1.78222e-11
