script,ablation_name,n_runs,n_success_returncode0,success_rate_returncode0,n_unique_seeds,top1_status_count__2,duration_seconds__count,duration_seconds__mean,duration_seconds__std,duration_seconds__min,duration_seconds__q25,duration_seconds__median,duration_seconds__q75,duration_seconds__max,top1_cost__count,top1_cost__mean,top1_cost__std,top1_cost__min,top1_cost__q25,top1_cost__median,top1_cost__q75,top1_cost__max,top1_nfev__count,top1_nfev__mean,top1_nfev__std,top1_nfev__min,top1_nfev__q25,top1_nfev__median,top1_nfev__q75,top1_nfev__max,model_eval__count,model_eval__mean,model_eval__std,model_eval__min,model_eval__q25,model_eval__median,model_eval__q75,model_eval__max,residual_calls__count,residual_calls__mean,residual_calls__std,residual_calls__min,residual_calls__q25,residual_calls__median,residual_calls__q75,residual_calls__max,objective_calls__count,objective_calls__mean,objective_calls__std,objective_calls__min,objective_calls__q25,objective_calls__median,objective_calls__q75,objective_calls__max,T_fit_total__count,T_fit_total__mean,T_fit_total__std,T_fit_total__min,T_fit_total__q25,T_fit_total__median,T_fit_total__q75,T_fit_total__max,T_global__count,T_global__mean,T_global__std,T_global__min,T_global__q25,T_global__median,T_global__q75,T_global__max,T_local__count,T_local__mean,T_local__std,T_local__min,T_local__q25,T_local__median,T_local__q75,T_local__max,SSE_raw__count,SSE_raw__mean,SSE_raw__std,SSE_raw__min,SSE_raw__q25,SSE_raw__median,SSE_raw__q75,SSE_raw__max,RMSE_raw__count,RMSE_raw__mean,RMSE_raw__std,RMSE_raw__min,RMSE_raw__q25,RMSE_raw__median,RMSE_raw__q75,RMSE_raw__max,AIC_raw__count,AIC_raw__mean,AIC_raw__std,AIC_raw__min,AIC_raw__q25,AIC_raw__median,AIC_raw__q75,AIC_raw__max,BIC_raw__count,BIC_raw__mean,BIC_raw__std,BIC_raw__min,BIC_raw__q25,BIC_raw__median,BIC_raw__q75,BIC_raw__max,top1_status_count__True,top1_status_count__0
CurVer.py,,10,10,1.0,10,10.0,10,83.83110000000002,6.09868396459433,70.094,81.367,85.11699999999999,85.164,92.235,10,1540.1,2.396728981215028e-13,1540.1,1540.1,1540.1,1540.1,1540.1,10,57.3,16.839437837014238,32,43.0,59.0,72.5,77,10,17967.6,1224.6702231848196,16448,17083.0,17868.5,18246.0,20750,10,17967.6,1224.6702231848196,16448,17083.0,17868.5,18246.0,20750,10,7440.0,0.0,7440,7440.0,7440.0,7440.0,7440,10,20.8039,6.191036826646155,5.439,20.6265,22.115000000000002,22.975250000000003,29.895,10,1.4592,0.14087330793620517,1.303,1.40225,1.4245,1.435,1.815,10,19.2048,6.132703369821684,3.998,19.088,20.502,21.0855,28.323,10,54505590.0,1846.5884459968033,54501900.0,54504600.0,54506350.0,54506625.0,54507700.0,10,130.9203,0.0022632326929003634,130.916,130.919,130.921,130.92175,130.923,10,31026.3842,0.10794731225073632,31026.169,31026.32525,31026.427499999998,31026.44575,31026.507,10,31099.1597,0.10799182067796147,31098.944,31099.101,31099.203,31099.220999999998,31099.282,,
ablation_de_only.py,DE only,10,10,1.0,10,,10,70.6264,16.605253427086797,35.046,61.367000000000004,75.125,78.92525,95.125,10,58516.00499999999,44545.538784403354,4691.93,9519.24,86113.95,95819.9,98620.3,10,22032.0,7746.214559383183,11040,17520.0,20040.0,27240.0,34080,10,22033.0,7746.214559383183,11041,17521.0,20041.0,27241.0,34081,10,22033.0,7746.214559383183,11041,17521.0,20041.0,27241.0,34081,10,22032.0,7746.214559383183,11040,17520.0,20040.0,27240.0,34080,10,9.3761,4.915256870195087,2.203,6.8020000000000005,8.3925,10.148,18.704,10,9.258999999999999,4.916220341323651,2.095,6.68725,8.269,10.031500000000001,18.589,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,695088730.0,530173837.9198909,54432000.0,128739250.0,977540500.0,1146415000.0,1169230000.0,10,418.2425,220.2390173169192,130.832,201.20675,552.49,600.42275,606.368,10,37287.1528,4321.76124629564,31022.089,33759.545,40161.2505,40712.94725,40775.615,10,37359.9283,4321.761481009413,31094.864,33832.32075,40234.0265,40785.7225,40848.391,10.0,
ablation_ga_ls.py,GA + LS,10,10,1.0,10,9.0,10,192.39069999999998,347.98254637012093,70.063,81.39825,85.1405,85.16425,1182.672,10,2598.344,1624.1268325965184,2084.75,2084.75,2084.75,2084.75,7220.69,10,69.5,46.82176606854741,45,46.5,55.5,65.75,200,10,8014.5,450.4252928560345,7775,7792.75,7886.5,7971.25,9273,10,8014.5,450.4252928560345,7775,7792.75,7886.5,7971.25,9273,10,7320.0,0.0,7320,7320.0,7320.0,7320.0,7320,10,111.7701,347.69178255507023,1.66,1.68625,1.7374999999999998,1.8450000000000002,1101.318,10,111.1052,347.0268792470629,1.292,1.3295000000000001,1.36,1.43,1098.761,10,0.4175,0.35267588204721023,0.204,0.23450000000000001,0.2605,0.29874999999999996,1.144,10,249281700.0,366096287.3987146,133511000.0,133512000.0,133512000.0,133512000.0,1291210000.0,10,248.13299999999998,136.7087768912849,204.901,204.902,204.902,204.902,637.213,10,34596.8889,2281.862350134665,33875.273,33875.3,33875.30499999999,33875.30825,41091.183,10,34669.664399999994,2281.862174452368,33948.049,33948.075249999994,33948.08,33948.08425,41163.958,,1.0
ablation_ls_only.py,LS only,10,10,1.0,10,10.0,10,80.12660000000001,4.071938146223081,75.109,80.09774999999999,80.125,80.14075,90.094,10,2084.75,0.0,2084.75,2084.75,2084.75,2084.75,2084.75,10,68.0,0.0,68,68.0,68.0,68.0,68,10,693.0,0.0,693,693.0,693.0,693.0,693,10,693.0,0.0,693,693.0,693.0,693.0,693,10,0.0,0.0,0,0.0,0.0,0.0,0,10,0.4199,0.026197752236064496,0.374,0.40825,0.4205,0.438,0.457,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.2955,0.023819926298981046,0.252,0.28175,0.2975,0.3085,0.338,10,133512000.0,0.0,133512000.0,133512000.0,133512000.0,133512000.0,133512000.0,10,204.902,0.0,204.902,204.902,204.902,204.902,204.902,10,33875.31199999999,7.66953273988809e-12,33875.312,33875.312,33875.312,33875.312,33875.312,10,33948.088,7.66953273988809e-12,33948.088,33948.088,33948.088,33948.088,33948.088,,
ablation_no_freq_weights.py,No frequency weights,10,10,1.0,10,10.0,10,100.16569999999999,8.818360808248006,90.109,91.44125,100.1875,105.1525,115.172,10,1117.962,194.61078357697562,1025.65,1025.65,1025.65,1025.65,1487.21,10,36.4,18.53045541204473,13,24.5,39.5,42.5,77,10,16486.4,2390.640834588082,13434,14485.75,15920.0,18226.0,20375,10,16486.4,2390.640834588082,13434,14485.75,15920.0,18226.0,20375,10,7440.0,0.0,7440,7440.0,7440.0,7440.0,7440,10,16.3779,5.763953994920114,8.698,12.425999999999998,15.4545,17.8705,26.255,10,1.4206,0.020646226451016846,1.382,1.41175,1.419,1.42475,1.454,10,14.823199999999996,5.765847510220081,7.148,10.88075,13.9035,16.317,24.741,10,54629010.0,23651565.32942611,43410000.0,43410100.0,43410100.0,43410175.0,99505100.0,10,128.848,25.321411317521598,116.837,116.837,116.837,116.837,176.892,10,30830.15,1112.215216804933,30302.575,30302.578250000002,30302.581,30302.58525,32940.443,10,30902.9255,1112.2154803281646,30375.35,30375.354,30375.3565,30375.360500000003,33013.219,,
ablation_no_reim_scaling.py,No Re/Im separate scaling,10,10,1.0,10,10.0,10,99.1548,5.16899815782087,90.172,95.15975,100.14850000000001,103.87174999999999,105.219,10,45751110.0,13004416.57826294,37674600.0,37674600.0,37674600.0,57865875.0,64596300.0,10,51.2,16.605220062779456,30,40.5,48.5,55.0,88,10,17264.0,1394.797635660616,14830,16485.0,17600.5,18412.5,18731,10,17264.0,1394.797635660616,14830,16485.0,17600.5,18412.5,18731,10,7440.0,0.0,7440,7440.0,7440.0,7440.0,7440,10,20.2956,2.867749996851965,15.482,18.46125,20.726,22.3385,24.508,10,1.4338000000000002,0.07128004239928908,1.374,1.392,1.4104999999999999,1.44075,1.616,10,18.725099999999998,2.8403856721696554,13.941,16.928,19.1905,20.829250000000002,22.724,10,74067560.0,34251017.6243049,52793800.0,52795150.0,52796900.0,105975900.0,123702000.0,10,149.3646,33.030954132954335,128.848,128.85,128.852,180.1365,197.231,10,31737.3019,1307.892366872447,30924.912,30924.995,30925.097999999998,32955.74725,33632.621,10,31810.077499999996,1307.8921828662794,30997.687,30997.77075,30997.874,33028.52325,33705.396,,
