script,parameter,count,mean,std,min,q25,median,q75,max
ablation_ls_only.py,Llr,10,0.058567999999999995,7.314236392868128e-18,0.058568,0.058568,0.058568,0.058568,0.058568
ablation_ls_only.py,Lls,10,0.0292213,0.0,0.0292213,0.0292213,0.0292213,0.0292213,0.0292213
ablation_ls_only.py,Lm,10,0.030278499999999996,7.314236392868128e-18,0.0302785,0.0302785,0.0302785,0.0302785,0.0302785
ablation_ls_only.py,Rcore,10,3475.56,4.793457962430056e-13,3475.56,3475.56,3475.56,3475.56,3475.56
ablation_ls_only.py,Rrs,10,903.436,1.198364490607514e-13,903.436,903.436,903.436,903.436,903.436
ablation_ls_only.py,Rsf,10,27.4,0.0,27.4,27.4,27.4,27.4,27.4
ablation_ls_only.py,Rsw,10,13435.2,0.0,13435.2,13435.2,13435.2,13435.2,13435.2
ablation_ls_only.py,nLls,10,1.7803399999999999e-09,4.359624620001392e-25,1.78034e-09,1.78034e-09,1.78034e-09,1.78034e-09,1.78034e-09
ablation_no_freq_weights.py,Csf,10,3.4181150000000005e-10,1.3745366906302957e-11,3.15731e-10,3.48331e-10,3.48331e-10,3.48332e-10,3.48332e-10
ablation_no_freq_weights.py,Csf0,10,2.2686354699999996e-09,2.9665963080900648e-09,7.38023e-11,7.7494825e-11,1.6608435e-10,5.0509275e-09,7.37997e-09
ablation_no_freq_weights.py,Csw,10,6.736774e-10,5.759145346933962e-11,6.46358e-10,6.46359e-10,6.463595000000001e-10,6.463607500000001e-10,7.82952e-10
ablation_no_freq_weights.py,Lad,10,1.277628e-07,2.66190945667871e-09,1.25697e-07,1.260025e-07,1.2695800000000002e-07,1.2735075e-07,1.33007e-07
ablation_no_freq_weights.py,Llr,10,0.0270056,0.019527749931486385,0.0177424,0.01774265,0.017742849999999998,0.017743075,0.0640631
ablation_no_freq_weights.py,Lls,10,0.031718420000000004,0.0015602783396988283,0.0287579,0.0324585,0.0324585,0.0324585,0.0324586
ablation_no_freq_weights.py,Lm,10,0.02305409,0.004436733622948306,0.0209495,0.020949525,0.0209496,0.0209496,0.0314741
ablation_no_freq_weights.py,Rcore,10,4816.773,617.1701367271247,3645.77,5109.475,5109.51,5109.5425000000005,5109.58
ablation_no_freq_weights.py,Rrs,10,2426.2228000000005,787.9915380704429,930.825,2800.0,2800.0,2800.0,2800.0
ablation_no_freq_weights.py,Rsf,10,27.4,0.0,27.4,27.4,27.4,27.4,27.4
ablation_no_freq_weights.py,Rsw,10,13977.86,339.08049257432174,13334.5,14138.7,14138.7,14138.7,14138.7
ablation_no_freq_weights.py,nLls,10,9.8662757e-10,6.723727480688438e-10,8.95867e-11,3.4762125e-10,1.0162575e-09,1.6083874999999999e-09,1.77943e-09
ablation_no_reim_scaling.py,Csf,10,3.56172e-10,5.767798097098145e-12,3.47812e-10,3.5079925e-10,3.59754e-10,3.59754e-10,3.59756e-10
ablation_no_reim_scaling.py,Csf0,10,9.8213872e-10,2.266405493974394e-09,7.38007e-11,8.471810000000001e-11,1.13829e-10,5.873009999999999e-10,7.38e-09
ablation_no_reim_scaling.py,Csw,10,6.608262e-10,4.540663584592503e-11,6.32624e-10,6.32626e-10,6.32627e-10,7.0312625e-10,7.26627e-10
ablation_no_reim_scaling.py,Lad,10,1.2771720000000002e-07,4.485905829496545e-10,1.27101e-07,1.2748350000000002e-07,1.276815e-07,1.277855e-07,1.28759e-07
ablation_no_reim_scaling.py,Llr,10,0.032535879999999996,0.029525043853944284,0.0141987,0.014199025,0.0141993,0.06003835,0.0753242
ablation_no_reim_scaling.py,Lls,10,0.03127295,0.0015818027797070298,0.0289806,0.029799425,0.0322553,0.032255374999999996,0.0322554
ablation_no_reim_scaling.py,Lm,10,0.024039490000000004,0.0029511642856676077,0.0222065,0.0222066,0.022206749999999997,0.026788475,0.0283167
ablation_no_reim_scaling.py,Rcore,10,5211.750000000001,1179.5865689393984,3502.34,4112.8525,5944.255,5944.3675,5944.48
ablation_no_reim_scaling.py,Rrs,10,2307.789,792.5350066779384,1159.15,1569.535,2800.0,2800.0,2800.0
ablation_no_reim_scaling.py,Rsf,10,27.4,0.0,27.4,27.4,27.4,27.4,27.4
ablation_no_reim_scaling.py,Rsw,10,13944.4,364.05558794106065,13416.8,13605.3,14170.5,14170.5,14170.5
ablation_no_reim_scaling.py,nLls,10,3.9165549e-10,5.065959979251282e-10,1.78222e-11,6.8472025e-11,2.397605e-10,4.4163875000000005e-10,1.67811e-09
